id,position,name,first_name,last_name,twitter_username,twitter_followers,age,nationality,height,weight,minutes,goals,assists,saves,rating,team_name,goals_minutes_coeff,saves_minutes_coeff,assists_minutes_coeff,rating_minutes_coeff,titles
294,Defender,Son,Francisco Javier,Hidalgo Gómez,None,,27.0,Spain,178.0,72.0,858,0,0,0,6.69565,Levante,0.0,0.0,0.0,0.007803787878787879,1.0
223,Goalkeeper,Joel Robles,Joel,Robles Blázquez,None,,31.0,Spain,195.0,78.0,1620,0,0,38,6.69444,Real Betis,0.0,0.02345679012345679,0.0,0.0041323703703703705,6.0
267,Midfielder,S. Chukwueze,Samuel Chimerenka,Chukwueze,None,,22.0,Nigeria,172.0,70.0,1020,1,2,0,6.6913,Villarreal,0.000980392156862745,0.0,0.00196078431372549,0.006560098039215687,1.0
326,Defender,Aarón Martín,Aarón,Martín Caricol,None,,24.0,Spain,180.0,72.0,886,0,0,0,6.69,Celta Vigo,0.0,0.0,0.0,0.007550790067720091,3.0
389,Defender,Germán Sánchez,Germán,Sánchez Barahona,None,,35.0,Spain,187.0,82.0,1882,3,1,0,6.688,Granada CF,0.001594048884165781,0.0,0.0005313496280552603,0.003553666312433581,0.0
590,Defender,Bruno,Bruno,González Cabrera,None,,31.0,Spain,185.0,83.0,1991,1,0,0,6.6875,Valladolid,0.0005022601707684581,0.0,0.0,0.0033588648920140633,1.0
176,Midfielder,Óscar Rodríguez,Óscar,Rodríguez Arnaiz,None,,23.0,Spain,174.0,67.0,354,0,0,0,6.68571,Sevilla,0.0,0.0,0.0,0.018886186440677966,6.0
493,Defender,Juan Cruz,Álvaro Juan,Cruz Armada,None,,29.0,Spain,180.0,79.0,1694,0,0,0,6.68571,Osasuna,0.0,0.0,0.0,0.003946700118063755,0.0
551,Attacker,E. Ünal,Enes,Ünal,None,,24.0,Turkey,187.0,78.0,770,1,2,0,6.68421,Getafe,0.0012987012987012987,0.0,0.0025974025974025974,0.008680792207792208,0.0
401,Attacker,Soldado,Roberto,Soldado Rillo,None,,36.0,Spain,180.0,74.0,1223,6,0,0,6.68333,Granada CF,0.004905968928863451,0.0,0.0,0.005464701553556827,3.0
230,Midfielder,William Carvalho,William,Silva de Carvalho,None,,29.0,Portugal,187.0,79.0,1094,2,0,0,6.68182,Real Betis,0.0018281535648994515,0.0,0.0,0.006107696526508227,5.0
427,Defender,M. López,Marcos Mauro,López Gutiérrez,None,,30.0,Argentina,190.0,84.0,1270,1,0,0,6.68125,Cadiz,0.0007874015748031496,0.0,0.0,0.005260826771653544,0.0
364,Defender,Capa,Ander,Capa Rodríguez,None,,29.0,Spain,175.0,75.0,2004,2,1,0,6.68077,Athletic Club,0.000998003992015968,0.0,0.000499001996007984,0.0033337175648702594,2.0
353,Midfielder,Brais Méndez,Brais,Méndez Portela,None,,24.0,Spain,187.0,76.0,1917,5,0,0,6.68,Celta Vigo,0.0026082420448617634,0.0,0.0,0.0034846113719353153,0.0
512,Attacker,Kike Barja,Enrique,Barja Afonso,None,,24.0,Spain,178.0,69.0,981,1,3,0,6.67826,Osasuna,0.0010193679918450561,0.0,0.0030581039755351682,0.0068076044852191635,0.0
453,Midfielder,Jorge Pombo,Jorge Marcos,Pombo Escobar,None,,27.0,Spain,177.0,76.0,431,1,0,0,6.67778,Cadiz,0.002320185614849188,0.0,0.0,0.01549368909512761,0.0
528,Defender,M. Olivera,Mathías,Olivera Miramontes,None,,24.0,Uruguay,184.0,78.0,1995,0,0,0,6.675,Getafe,0.0,0.0,0.0,0.003345864661654135,0.0
475,Midfielder,C. Oliva,Christian Gabriel,Oliva Giménez,None,,25.0,Uruguay,178.0,77.0,131,0,1,0,6.675,Valencia,0.0,0.0,0.007633587786259542,0.05095419847328244,0.0
628,Defender,Dani Calvo,Daniel Pedro,Calvo San Román,None,,27.0,Spain,190.0,82.0,1056,2,0,0,6.67143,Elche,0.001893939393939394,0.0,0.0,0.0063176420454545456,0.0
510,Midfielder,Iñigo Pérez,Iñigo,Pérez Soto,None,,33.0,Spain,178.0,74.0,1272,0,0,0,6.66842,Osasuna,0.0,0.0,0.0,0.00524246855345912,0.0
405,Midfielder,Kenedy,Robert Kenedy,Nunes do Nascimento,None,,25.0,Brazil,182.0,77.0,1379,3,2,0,6.668,Granada CF,0.002175489485134155,0.0,0.0014503263234227702,0.004835387962291516,1.0
48,Attacker,D. Kądzior,Damian,Kądzior,None,,29.0,Poland,175.0,74.0,194,0,0,0,6.66667,Eibar,0.0,0.0,0.0,0.03436427835051546,3.0
624,Defender,H. Palacios,Helibelton,Palacios Zapata,None,,28.0,Colombia,177.0,75.0,270,0,0,0,6.66667,Elche,0.0,0.0,0.0,0.02469137037037037,5.0
492,Attacker,Manu Vallejo,Manuel Javier,Vallejo Galván,None,,24.0,Spain,167.0,72.0,825,5,0,0,6.66522,Valencia,0.006060606060606061,0.0,0.0,0.008079054545454545,1.0
709,Defender,Bigas,Pedro,Bigas Rigo,None,,31.0,Spain,181.0,83.0,1516,0,0,0,6.665,Eibar,0.0,0.0,0.0,0.0043964379947229555,0.0
617,Midfielder,Kike Pérez,Enrique,Pérez Muñoz,None,,24.0,Spain,184.0,80.0,1035,0,0,0,6.665,Valladolid,0.0,0.0,0.0,0.006439613526570048,0.0
191,Defender,Zaldúa,Joseba,Zaldúa Bengoetxea,None,,29.0,Spain,176.0,70.0,491,0,0,0,6.6625,Real Sociedad,0.0,0.0,0.0,0.013569246435845212,1.0
668,Goalkeeper,Pacheco,Fernando,Pacheco Flores,None,,29.0,Spain,186.0,81.0,2610,0,0,71,6.65862,Alaves,0.0,0.027203065134099615,0.0,0.0025511954022988505,7.0
374,Attacker,Asier Villalibre,Asier,Villalibre Molina,None,,24.0,Spain,184.0,86.0,955,4,1,0,6.656,Athletic Club,0.004188481675392671,0.0,0.0010471204188481676,0.006969633507853403,1.0
582,Midfielder,Jaime Seoane,Jaime,Seoane Valenciano,None,,24.0,Spain,175.0,73.0,1497,1,1,0,6.65454,Huesca,0.0006680026720106881,0.0,0.0006680026720106881,0.004445250501002004,6.0
288,Defender,Coke,Jorge,Andújar Moreno,None,,34.0,Spain,182.0,78.0,512,0,0,0,6.65454,Levante,0.0,0.0,0.0,0.0129971484375,4.0
683,Attacker,Deyverson,Deyverson,Brum Silva Acosta,None,,30.0,Brazil,185.0,78.0,846,1,2,0,6.65263,Alaves,0.001182033096926714,0.0,0.002364066193853428,0.007863628841607566,2.0
154,Attacker,Trincão,Francisco António,Machado Mota Castro Trincão,None,,22.0,Portugal,183.0,77.0,572,3,2,0,6.65217,Barcelona,0.005244755244755245,0.0,0.0034965034965034965,0.011629667832167833,3.0
376,Midfielder,Oier Zarraga,Oier,Zarraga Egaña,None,,22.0,Spain,175.0,76.0,97,0,0,0,6.65,Athletic Club,0.0,0.0,0.0,0.06855670103092784,1.0
26,Attacker,A. Sanabria,Arnaldo Antonio,Sanabria Ayala,None,,25.0,Paraguay,180.0,70.0,935,3,0,0,6.65,Real Betis,0.0032085561497326204,0.0,0.0,0.007112299465240642,0.0
564,Defender,G. Silva,Gastón Alexis,Silva Perdomo,None,,27.0,Uruguay,183.0,74.0,409,0,0,0,6.65,Huesca,0.0,0.0,0.0,0.01625916870415648,3.0
586,Defender,Luis Pérez,Luis Jesús,Pérez Maqueda,None,,26.0,Spain,173.0,68.0,1112,0,0,0,6.65,Valladolid,0.0,0.0,0.0,0.00598021582733813,0.0
